OriginalName,Precursor,geneID,ensemblID,type,entrezID
hsa-miR-148b-3p,hsa-mir-148b,MIR148B,ENSG00000199122,hsa,442892
hsa-miR-149-5p,hsa-mir-149,MIR149,ENSG00000207611,hsa,406941
hsa-miR-150-5p,hsa-mir-150,MIR150,ENSG00000207782,hsa,406942
hsa-miR-151a-3p,hsa-mir-151a,MIR151A,ENSG00000254324,hsa,442893
hsa-miR-152-3p,hsa-mir-152,MIR152,ENSG00000207947,hsa,406943
hsa-miR-153-3p,hsa-mir-153-1,MIR153-1,ENSG00000207647,hsa,406944
hsa-miR-154-5p,hsa-mir-154,MIR154,ENSG00000207978,hsa,406946
hsa-miR-155-5p,hsa-mir-155,MIR155,ENSG00000283904,hsa,406947
hsa-miR-15a-5p,hsa-mir-15a,MIR15A,ENSG00000283785,hsa,406948
hsa-miR-15b-5p,hsa-mir-15b,MIR15B,ENSG00000207779,hsa,406949
hsa-miR-16-5p,hsa-mir-16-1,MIR16-1,ENSG00000208006,hsa,406950
hsa-miR-17-5p,hsa-mir-17,MIR17,ENSG00000284536,hsa,406952
hsa-miR-181a-2-3p,hsa-mir-181a-2,MIR181A2,ENSG00000207595,hsa,406954
hsa-miR-181a-3p,hsa-mir-181a-1,MIR181A1,ENSG00000207759,hsa,406995
hsa-miR-181a-5p,hsa-mir-181a-1,MIR181A1,ENSG00000207759,hsa,406995
hsa-miR-181b-5p,hsa-mir-181b-1,MIR181B1,ENSG00000207975,hsa,406955
hsa-miR-181c-5p,hsa-mir-181c,MIR181C,ENSG00000207613,hsa,406957
hsa-miR-181d-5p,hsa-mir-181d,MIR181D,ENSG00000207585,hsa,574457
hsa-miR-182-3p,hsa-mir-182,MIR182,ENSG00000207990,hsa,406958
hsa-miR-182-5p,hsa-mir-182,MIR182,ENSG00000207990,hsa,406958
hsa-miR-183-3p,hsa-mir-183,MIR183,ENSG00000207691,hsa,406959
hsa-miR-183-5p,hsa-mir-183,MIR183,ENSG00000207691,hsa,406959
hsa-miR-185-5p,hsa-mir-185,MIR185,ENSG00000208023,hsa,406961
hsa-miR-186-5p,hsa-mir-186,MIR186,ENSG00000207721,hsa,406962
hsa-miR-187-3p,hsa-mir-187,MIR187,ENSG00000207797,hsa,406963
hsa-miR-190a-5p,hsa-mir-190a,MIR190A,ENSG00000211137,hsa,406965
