Sample,total_reads,avg_input_read_length,uniquely_mapped,uniquely_mapped_percent,avg_mapped_read_length,num_splices,num_annotated_splices,num_GTAG_splices,num_GCAG_splices,num_ATAC_splices,num_noncanonical_splices,mismatch_rate,deletion_rate,deletion_length,insertion_rate,insertion_length,multimapped,multimapped_percent,multimapped_toomany,multimapped_toomany_percent,unmapped_mismatches_percent,unmapped_tooshort_percent,unmapped_other_percent,unmapped_mismatches,unmapped_tooshort,unmapped_other,featureCounts_mqc-generalstats-percent_assigned,featureCounts_mqc-generalstats-Assigned,Picard_mqc-generalstats-PCT_RIBOSOMAL_BASES,Picard_mqc-generalstats-PCT_MRNA_BASES,Picard_mqc-generalstats-PCT_PF_READS_ALIGNED,Picard_mqc-generalstats-summed_median,Picard_mqc-generalstats-summed_mean,Picard_mqc-generalstats-PERCENT_DUPLICATION,STAR_mqc-generalstats-uniquely_mapped_percent,STAR_mqc-generalstats-uniquely_mapped,FastQC_mqc-generalstats-percent_duplicates,FastQC_mqc-generalstats-percent_gc,FastQC_mqc-generalstats-avg_sequence_length,FastQC_mqc-generalstats-percent_fails,FastQC_mqc-generalstats-total_sequences,Total,Assigned,Unassigned_Ambiguity,Unassigned_MultiMapping,Unassigned_NoFeatures,Unassigned_Unmapped,Unassigned_MappingQuality,Unassigned_FragmentLength,Unassigned_Chimera,Unassigned_Secondary,Unassigned_Nonjunction,Unassigned_Duplicate,percent_assigned,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,PF_NOT_ALIGNED_BASES
eed3fe51-b57a-428f-81c9-b4600df162d1,65178456,152,56034548,85.97,151.23,17533112,17171085,17366012,141403,13694,12003,0.24,0.01,1.75,0.01,1.4,7556595,11.59,250290,0.38,0,1.99,0.06,0,1297891,39132,43.9935656050632,35145105,2e-04,75.513,0.975647,205,272.773476,0.25411,85.97,56034548,55.4649001215357,50.5,76,18.1818181818182,65178456,79886921,35145105,6845724,22265060,14043719,1587313,0,0,0,0,0,0,43.9935656050632,9907125312,9615198786,22344,3273107893,3987612682,1985426368,369032418,0,0,0,2e-04,34.041,41.472,20.6488,3.838,75.513,73.2879,0,0.571433,0.455454,0.616264,0.674927,291926526
f63b7171-5885-49c3-8636-0fb412ed3bde,53819376,152,49737542,92.42,151.31,9925022,9730402,9824636,84078,8783,7525,0.27,0.01,1.63,0.01,1.43,3068518,5.7,61120,0.11,0,1.65,0.12,0,887640,64556,38.3759918212584,23282890,2e-04,50.1736,0.981172,181,208.240187,0.173772,92.42,49737542,31.9050514309654,46,76,9.09090909090909,53819376,60670458,23282890,1637373,9919600,24817279,1013316,0,0,0,0,0,0,38.3759918212584,8180545152,7988646968,17480,1973354146,2034835400,3473383398,507056901,0,0,0,2e-04,24.702,25.4716,43.479,6.3472,50.1736,48.9966,0,0.494161,0.401328,0.72955,0.508809,191898184
07801b9d-730f-4711-976b-3fe555d0e6e4,67634204,152,62102754,91.82,151.25,12139832,11904785,12017986,101890,10379,9577,0.29,0.01,1.64,0.01,1.44,4163460,6.16,96678,0.14,0,1.75,0.13,0,1183402,87910,36.8290000903688,28536016,2e-04,49.2157,0.979774,175,199.883774,0.178316,91.82,62102754,33.9365200959078,47,76,4.54545454545455,67634204,77482462,28536016,2015550,14011718,31551188,1367990,0,0,0,0,0,0,36.8290000903688,10280399008,10020727816,19456,2480065764,2451710578,4459570342,629362024,0,0,0,2e-04,24.7494,24.4664,44.5035,6.2806,49.2157,47.9726,0,0.497304,0.369341,0.725389,0.47385,259671192
080bd8e9-1df1-4796-b0cb-0d174e213c93,71228302,152,66050181,92.73,151.23,10060125,9831294,9959592,83321,8566,8646,0.33,0.01,1.67,0.01,1.44,3628658,5.09,80242,0.11,0,1.93,0.14,0,1369853,99368,31.1962617424941,24872373,4e-04,40.2433,0.978247,173,194.828392,0.174089,92.73,66050181,28.7672198811584,45,76,9.09090909090909,71228302,79728697,24872373,1619105,12129053,39558703,1549463,0,0,0,0,0,0,31.1962617424941,10826701904,10535587755,38000,2078491803,2161371604,5575956662,719732560,0,0,0,4e-04,19.7283,20.515,52.925,6.8314,40.2433,39.1612,0,0.491612,0.368259,0.722284,0.493883,291114149
142337dd-0994-4df4-8de3-4049b6342a22,62322224,152,58145900,93.3,151.24,8022818,7831695,7940749,67846,6624,7599,0.31,0.01,1.73,0.01,1.44,2845916,4.57,75161,0.12,0,1.87,0.14,0,1167817,87430,29.3001739814603,20115534,3e-04,36.7726,0.978653,187,208.283445,0.147682,93.3,58145900,27.4487855392886,46,76,9.09090909090909,62322224,68653292,20115534,1320101,9176984,36710265,1330408,0,0,0,0,0,0,29.3001739814603,9472978048,9223428645,27056,1674993971,1716699891,5260848914,570859127,0,0,0,3e-04,18.1602,18.6124,57.0379,6.1892,36.7726,35.8039,0,0.503513,0.417957,0.648314,0.647005,249549403
16a14150-da9a-444c-bdad-51b6e6e11065,79390387,152,73816137,92.98,151.27,11828812,11560089,11708495,100537,9118,10662,0.29,0.01,1.63,0.01,1.43,4005108,5.04,101695,0.13,0,1.72,0.13,0,1364329,103118,32.393284841602,28675239,2e-04,41.3318,0.980235,174,196.208746,0.173458,92.98,73816137,33.0080210330896,46,76,4.54545454545455,79390387,88522171,28675239,1820057,13136892,43320841,1569142,0,0,0,0,0,0,32.393284841602,12067338824,11770316808,27056,2421024246,2443864061,6192319328,713082771,0,0,0,2e-04,20.5689,20.7629,52.6096,6.0583,41.3318,40.3145,0,0.493204,0.388694,0.649564,0.537207,297022016
22264be5-a28a-4ef3-a635-e24fb1461065,79376315,152,73563826,92.68,151.29,11715659,11451451,11599655,94958,10252,10794,0.29,0.01,1.64,0.01,1.43,4269723,5.38,97237,0.12,0,1.69,0.13,0,1342277,103252,31.635812523748,28531227,2e-04,40.7805,0.980564,176,197.823804,0.185388,92.68,73563826,31.4663766496182,45,76,9.09090909090909,79376315,90186484,28531227,1681712,15079892,43350887,1542766,0,0,0,0,0,0,31.635812523748,12065199880,11772705286,27208,2383945217,2417019992,6222916198,748798338,0,0,0,2e-04,20.2498,20.5307,52.8588,6.3605,40.7805,39.7918,0,0.497485,0.372903,0.662692,0.547545,292494594
29792805-357a-4388-8547-798936e93f4d,59816018,152,55088871,92.1,151.29,11143598,10898819,11030716,94235,9051,9596,0.27,0.01,1.7,0.01,1.45,3590531,6,75045,0.13,0,1.67,0.11,0,995968,65603,38.0333684276445,25617621,4e-04,50.82,0.980998,189,221.195615,0.178708,92.1,55088871,36.6558772473215,47,76,4.54545454545455,59816018,67355646,25617621,2195681,11130159,27275569,1136616,0,0,0,0,0,0,38.0333684276445,9092034736,8876404300,36024,2239297838,2271690350,3850238850,515141477,0,0,0,4e-04,25.2275,25.5925,43.3761,5.8035,50.82,49.6147,0,0.507259,0.422864,0.651822,0.610092,215630436
2f47c677-5871-4757-9bca-852fb43ca76c,71971278,152,66869374,92.91,151.27,10743010,10499703,10631040,93530,8502,9938,0.3,0.01,1.71,0.01,1.45,3616977,5.03,74641,0.1,0,1.83,0.13,0,1316747,93539,32.4523780113464,25977991,1e-04,41.4409,0.979368,186,214.066169,0.158571,92.91,66869374,32.1870265523849,46,76,4.54545454545455,71971278,80049576,25977991,1802357,11695275,39089026,1484927,0,0,0,0,0,0,32.4523780113464,10939634256,10660633967,15504,2200707099,2217159760,5582547425,660204446,0,0,0,1e-04,20.6433,20.7976,52.366,6.1929,41.4409,40.384,0,0.496944,0.402782,0.676867,0.567254,279000289
2f4c9413-997c-419c-8905-0964bbd49e95,70627027,152,65378829,92.57,151.22,12032858,11803749,11911092,102708,10131,8927,0.34,0.01,1.63,0.01,1.43,3703238,5.24,76267,0.11,0,1.96,0.12,0,1383961,84732,35.9239012832103,28416861,5e-04,46.4161,0.978125,182,206.070639,0.178475,92.57,65378829,31.3249652743611,46,76,9.09090909090909,70627027,79102937,28416861,1943924,12179148,35018044,1544960,0,0,0,0,0,0,35.9239012832103,10735308104,10444446253,52592,2415740064,2432163074,4941980548,654515230,0,0,0,5e-04,23.1294,23.2867,47.3168,6.2666,46.4161,45.1585,0,0.508013,0.37486,0.689306,0.49134,290861851
