ensemblID,analysis,sample_site,group,Precursor,geneID,ensemblID.y,type,entrezID,score
ENSG00000114796,DE,Periphery,DE.Periphery,"",KLHL24,ENSG00000114796,ENS,54800,1
ENSG00000114902,DE,Periphery,DE.Periphery,"",SPCS1,ENSG00000114902,ENS,28972,1
ENSG00000114948,DP,Macula,DP.Macula,"",ADAM23,ENSG00000114948,ENS,8745,2
ENSG00000114948,DE,Macula,DE.Macula,"",ADAM23,ENSG00000114948,ENS,8745,2
ENSG00000114993,DE,Periphery,DE.Periphery,"",RTKN,ENSG00000114993,ENS,6242,1
ENSG00000114999,DP,Macula,DP.Macula,"",TTL,ENSG00000114999,ENS,150465,2
ENSG00000114999,DE,Macula,DE.Macula,"",TTL,ENSG00000114999,ENS,150465,2
ENSG00000115091,DP,Macula,DP.Macula,"",ACTR3,ENSG00000115091,ENS,10096,2
ENSG00000115091,DP,Periphery,DP.Periphery,"",ACTR3,ENSG00000115091,ENS,10096,2
ENSG00000115233,DP,Macula,DP.Macula,"",PSMD14,ENSG00000115233,ENS,10213,1
ENSG00000115267,DP,Macula,DP.Macula,"",IFIH1,ENSG00000115267,ENS,64135,1
ENSG00000115282,DP,Macula,DP.Macula,"",TTC31,ENSG00000115282,ENS,64427,1
ENSG00000115290,DP,Macula,DP.Macula,"",GRB14,ENSG00000115290,ENS,2888,2
ENSG00000115290,DE,Macula,DE.Macula,"",GRB14,ENSG00000115290,ENS,2888,2
ENSG00000115307,DP,Macula,DP.Macula,"",AUP1,ENSG00000115307,ENS,550,1
ENSG00000115310,DP,Macula,DP.Macula,"",RTN4,ENSG00000115310,ENS,57142,1
ENSG00000115419,DP,Macula,DP.Macula,"",GLS,ENSG00000115419,ENS,2744,3
ENSG00000115419,DE,Macula,DE.Macula,"",GLS,ENSG00000115419,ENS,2744,3
ENSG00000115419,DE,Periphery,DE.Periphery,"",GLS,ENSG00000115419,ENS,2744,3
ENSG00000115486,DP,Macula,DP.Macula,"",GGCX,ENSG00000115486,ENS,2677,1
ENSG00000115526,DP,Periphery,DP.Periphery,"",CHST10,ENSG00000115526,ENS,9486,2
ENSG00000115526,DE,Periphery,DE.Periphery,"",CHST10,ENSG00000115526,ENS,9486,2
ENSG00000115561,DP,Macula,DP.Macula,"",CHMP3,ENSG00000115561,ENS,51652,3
ENSG00000115561,DE,Macula,DE.Macula,"",CHMP3,ENSG00000115561,ENS,51652,3
ENSG00000115561,DE,Periphery,DE.Periphery,"",CHMP3,ENSG00000115561,ENS,51652,3
