cellType,p_val,avg_logFC,pct.1,pct.2,p_val_adj,ensemblID,cellTypeShort,geneID,n,Unique
Unknown,1.70559172625943e-67,0.298392925418169,0.998,0.993,3.68578372044663e-63,ENSG00000198886,Unknown,MT-ND4,2,FALSE
Unknown,3.11187725592218e-67,0.293111016744376,1,0.995,6.72476675004783e-63,ENSG00000198899,Unknown,MT-ATP6,2,FALSE
Unknown,3.04173185005327e-66,1.06733884784475,0.425,0.151,6.57318252796511e-62,ENSG00000104722,Unknown,NEFM,3,FALSE
Unknown,3.96846938865039e-66,1.24247015364415,0.403,0.147,8.57586234887349e-62,ENSG00000120251,Unknown,GRIA2,4,FALSE
Unknown,4.25097572676915e-66,0.316155752982886,0.996,0.97,9.18635854554814e-62,ENSG00000198840,Unknown,MT-ND3,2,FALSE
Unknown,2.09067668260006e-65,1.23754638540241,0.257,0.06,4.51795231109873e-61,ENSG00000162390,Unknown,ACOT11,2,FALSE
Unknown,4.21856822061359e-64,1.22168592455541,0.318,0.093,9.11632592474598e-60,ENSG00000159363,Unknown,ATP13A2,3,FALSE
Unknown,9.72104087119341e-64,0.918575222860274,0.113,0.011,2.1007169322649e-59,ENSG00000154262,Unknown,ABCA6,1,TRUE
Unknown,1.57866064533336e-63,0.31401444684203,0.992,0.963,3.4114856545654e-59,ENSG00000198888,Unknown,MT-ND1,2,FALSE
Unknown,5.81731987611571e-63,0.929820344791106,0.101,0.009,1.2571228252286e-58,ENSG00000165379,Unknown,LRFN5,1,TRUE
Unknown,4.27400822866473e-61,1.1155613186392,0.457,0.192,9.23613178214449e-57,ENSG00000135976,Unknown,ANKRD36,3,FALSE
Unknown,6.23384771550784e-60,1.18871213681094,0.306,0.09,1.34713449132124e-55,ENSG00000175265,Unknown,GOLGA8A,2,FALSE
Unknown,6.50498167121088e-60,1.20471919571308,0.277,0.075,1.40572653914867e-55,ENSG00000138834,Unknown,MAPK8IP3,3,FALSE
Unknown,4.51609937450749e-59,0.273594458097039,1,0.991,9.75929074831069e-55,ENSG00000198727,Unknown,MT-CYB,2,FALSE
Unknown,6.31936923897598e-59,1.08955922867069,0.16,0.026,1.36561569254271e-54,ENSG00000157110,Unknown,RBPMS,3,FALSE
Unknown,6.06205868523284e-57,1.04461491441137,0.144,0.022,1.31001088187882e-52,ENSG00000170561,Unknown,IRX2,2,FALSE
Unknown,6.13224805915812e-55,0.952390957288358,0.437,0.174,1.32517880558407e-50,ENSG00000100362,Unknown,PVALB,4,FALSE
Unknown,2.23997321128075e-54,1.08480266228011,0.138,0.021,4.84058210957769e-50,ENSG00000029534,Unknown,ANK1,3,FALSE
Unknown,4.26451541920732e-54,0.949786483006797,0.368,0.127,9.21561782090702e-50,ENSG00000104435,Unknown,STMN2,4,FALSE
Unknown,9.56211772250641e-53,1.00948660045799,0.209,0.047,2.06637363983363e-48,ENSG00000166006,Unknown,KCNC2,2,FALSE
Unknown,4.11389285338013e-52,1.21278415919048,0.241,0.065,8.89012245615445e-48,ENSG00000175931,Unknown,UBE2O,2,FALSE
Unknown,5.12078530735239e-52,0.2974647281943,0.986,0.938,1.10660170491885e-47,ENSG00000198763,Unknown,MT-ND2,2,FALSE
Unknown,1.96385902335905e-51,1.08046626111382,0.419,0.181,4.2438993494789e-47,ENSG00000177679,Unknown,SRRM3,3,FALSE
Unknown,1.0724496602205e-50,0.929332135104155,0.439,0.184,2.3175637157365e-46,ENSG00000173267,Unknown,SNCG,4,FALSE
Unknown,4.40725660938463e-48,1.08460646757034,0.255,0.075,9.52408153288019e-44,ENSG00000198300,Unknown,PEG3,3,FALSE
Unknown,3.80665299344141e-47,1.13185353796249,0.269,0.085,8.22617711882689e-43,ENSG00000072310,Unknown,SREBF1,2,FALSE
Unknown,1.85885309721204e-46,1.26496516465121,0.281,0.096,4.01698154307522e-42,ENSG00000076864,Unknown,RAP1GAP,3,FALSE
Unknown,4.27895689716225e-46,1.10249828511772,0.235,0.067,9.24682585476762e-42,ENSG00000141837,Unknown,CACNA1A,4,FALSE
Unknown,9.85253402259663e-46,1.10487004199026,0.198,0.049,2.12913260228313e-41,ENSG00000105613,Unknown,MAST1,3,FALSE
Unknown,1.61640925301919e-45,1.05415710502896,0.202,0.052,3.49306039577446e-41,ENSG00000142156,Unknown,COL6A1,3,FALSE
Unknown,1.00502261666504e-44,1.11844047796572,0.259,0.083,2.17185387461316e-40,ENSG00000155980,Unknown,KIF5A,2,FALSE
Unknown,1.01919834873009e-43,1.14069286298145,0.283,0.098,2.20248763160573e-39,ENSG00000034152,Unknown,MAP2K3,4,FALSE
Unknown,2.84653944531504e-43,0.870970077214309,0.115,0.018,6.15137174132581e-39,ENSG00000085831,Unknown,TTC39A,2,FALSE
Unknown,7.54526508074688e-43,0.936927412705878,0.186,0.046,1.6305317839494e-38,ENSG00000144285,Unknown,SCN1A,2,FALSE
Unknown,1.72425743639161e-41,1.05738818372708,0.395,0.187,3.72612032004228e-37,ENSG00000115419,Unknown,GLS,3,FALSE
Unknown,3.98609619406866e-41,1.11851287548736,0.245,0.079,8.61395387538237e-37,ENSG00000167508,Unknown,MVD,3,FALSE
Unknown,4.47481130555859e-41,1.08569801829571,0.259,0.087,9.6700672313121e-37,ENSG00000115183,Unknown,TANC1,3,FALSE
Unknown,8.21993830722764e-40,0.987839743459711,0.437,0.232,1.77632866819189e-35,ENSG00000144136,Unknown,SLC20A1,2,FALSE
Unknown,8.72595734081493e-40,1.10622449906317,0.194,0.054,1.88567938135011e-35,ENSG00000122729,Unknown,ACO1,1,TRUE
Unknown,1.92653260485479e-39,0.886760702186018,0.15,0.033,4.16323695909119e-35,ENSG00000091664,Unknown,SLC17A6,2,FALSE
Unknown,7.67677177204237e-39,0.979482394832992,0.166,0.04,1.65895037993836e-34,ENSG00000106617,Unknown,PRKAG2,3,FALSE
Unknown,2.62580078747478e-38,0.96911770941283,0.16,0.038,5.674355501733e-34,ENSG00000153250,Unknown,RBMS1,4,FALSE
Unknown,3.16311961670374e-38,1.040876191454,0.186,0.051,6.83550149169679e-34,ENSG00000160991,Unknown,ORAI2,2,FALSE
Unknown,1.25313697019993e-37,1.02597027316697,0.2,0.059,2.70802899260204e-33,ENSG00000111860,Unknown,CEP85L,1,TRUE
Unknown,2.31572851523585e-37,1.06639538763049,0.291,0.115,5.00428932142467e-33,ENSG00000105711,Unknown,SCN1B,2,FALSE
Unknown,7.21056697355307e-37,0.916327100544323,0.123,0.024,1.55820352298482e-32,ENSG00000130702,Unknown,LAMA5,1,TRUE
Unknown,7.74795146662836e-37,0.958918638783666,0.14,0.031,1.67433231193839e-32,ENSG00000137802,Unknown,MAPKBP1,2,FALSE
